index,Nome,Unita' Misura,LAT [°],LON [°],GB E [m],GB N [m],Quota,06/12/2025,07/12/2025,08/12/2025,09/12/2025,10/12/2025,11/12/2025,12/12/2025,13/12/2025,14/12/2025,15/12/2025,16/12/2025,17/12/2025,18/12/2025,19/12/2025,20/12/2025,21/12/2025,22/12/2025,23/12/2025,24/12/2025,25/12/2025,26/12/2025,27/12/2025,28/12/2025,29/12/2025,30/12/2025,31/12/2025,01/01/2026,02/01/2026,03/01/2026,04/01/2026
TOS11000114,Abbadia S. S. - Laghetto Verde,mm,42.8831027447861,11.6616225242615,1717391.08,4751286.43,910.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.0,17.4,15.0,7.2,1.4,0.0,0.2,0.8,15.6,15.2,15.0,0.0,0.2,0.0,0.0,0.2,0.0,26.8,0.8,0.0,0.0
TOS11000115,Abbadia S. S. - Vetta Amiata,mm,42.8901,11.6252,1714392.23,4751970.05,1678.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.8,11.0,8.4,2.4,0.2,0.0,0.8,18.8,21.4,28.0,3.2,0.0,0.0,0.0,0.0,0.0,12.2,11.0,0.0,0.0
TOS19000115,Abbadia S. S. - Vetta Amiata1,mm,42.8901,11.6252,1714392.23,4751970.05,1678.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOS07000001,Abbadia S. Salvatore,mm,42.8943436457514,11.6693687438965,1717984.09,4752554.84,855.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6,14.2,5.8,1.2,0.0,0.0,0.4,12.8,11.4,11.8,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,0.0
TOS11000094,Acquerino,mm,44.0232663644,11.0252704749,1662341.9,4876466.82,950.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.6,48.4,8.6,6.0,15.6,0.2,0.2,0.4,22.8,19.0,0.2,8.6,0.6,0.0,0.0,0.0,0.0,2.6,19.0,1.4,0.0
TOS11000077,Albano,mm,43.8765290740426,10.8595333459538,1649426.23,4859855.79,465.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,27.2,7.6,4.2,6.8,0.0,0.0,0.2,13.2,15.6,3.8,0.0,0.0,0.0,0.0,0.0,0.0,1.8,9.2,0.0,0.0
TOS19000077,Albano1,mm,43.8765618654789,10.8595380682414,1649426.53,4859859.44,465.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOS11000103,Alberese,mm,42.6610918479,11.0170383112,1665338.9,4725168.82,1.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.2,0.0,8.8,2.8,2.8,11.2,0.0,0.0,1.2,18.8,14.6,1.4,0.0,0.0,0.0,0.2,1.2,0.0,13.4,0.0,0.0,0.0
TOS11000039,Anghiari,mm,43.5592947261819,12.0974015255405,1750198.36,4827604.49,312.0,0.2,0.0,0.2,0.4,0.4,0.4,0.4,0.2,0.2,0.2,5.2,2.2,1.2,0.8,0.2,0.2,0.2,0.4,16.8,4.8,0.0,0.2,0.2,0.2,0.2,0.0,2.8,12.6,0.0,0.0
TOS01002085,Anqua,mm,43.2152422191,10.9873096111,1661447.74,4786650.61,440.0,1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,18.0,5.4,0.8,0.2,0.0,0.0,0.4,9.8,8.4,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.0,0.0
TOS11000049,Aquilea,mm,43.9136803352,10.5019687047,1620623.9,4863397.82,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,29.0,8.6,14.8,9.0,0.0,0.2,0.6,8.2,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.4,0.0,0.0
TOS01000772,Arezzo - Fattoria San Fabiano,mm,43.4771402,11.9037761692,1734877.77,4817915.0,305.0,0.0,0.0,0.0,0.2,0.6,0.4,0.6,0.2,0.2,0.2,4.8,3.4,1.8,0.2,0.2,0.0,0.0,0.4,16.6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,4.8,0.0,0.0
TOS11000079,Argentario,mm,42.3867740446267,11.1695700779503,1678620.32,4695016.57,615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.2,2.6,2.2,10.2,0.0,0.0,6.4,28.2,38.0,1.2,0.0,0.0,0.0,0.0,0.6,0.0,2.6,0.0,0.0,0.0
TOS11000076,Artimino,mm,43.7677058350177,11.0483503416056,1664895.51,4848127.79,107.0,0.0,0.0,0.2,0.2,0.0,0.4,0.2,0.2,0.4,0.2,17.4,8.6,1.6,1.2,0.0,0.0,0.0,6.4,17.8,2.8,0.0,0.0,0.0,0.2,0.0,0.0,0.0,15.8,0.0,0.0
TOS01004007,Avenza,mm,44.0451579699098,10.0601259103135,1584960.23,4877450.56,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,44.2,10.8,0.0,8.8,0.0,0.0,1.2,11.4,1.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,9.8,11.4,0.0,0.0
TOS02000083,Azzano,mm,44.0235999195664,10.2284377813339,1598480.03,4875243.37,430.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,3.4,54.8,13.8,1.4,13.2,0.2,0.0,3.8,14.2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,24.4,0.0,0.0
TOS11000054,Baccinello,mm,42.7955114957092,11.4059878598442,1696791.62,4740930.49,370.0,0.2,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,22.2,1.6,3.4,7.6,0.0,0.0,0.2,23.0,5.6,5.2,0.0,0.2,0.0,0.0,0.4,0.0,14.4,0.4,0.0,0.0
TOS01000811,Badia Agnano,mm,43.4364985308398,11.6490805149078,1714421.64,4812713.8,261.0,0.2,0.0,0.0,0.4,0.2,0.4,0.4,0.0,0.2,0.0,13.8,4.8,4.4,0.2,0.2,0.0,0.0,2.2,16.8,6.8,0.0,0.0,0.0,0.0,0.2,0.0,1.2,2.0,0.2,0.0
TOS01001263,Baggio,mm,43.9912398824678,10.9641623497009,1657529.17,4872791.09,525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,21.8,5.2,4.8,10.6,0.0,0.0,0.0,11.4,15.4,9.4,0.0,0.0,0.0,0.0,0.0,0.0,1.8,15.2,0.4,0.0
TOS11000092,Bagni di Lucca,mm,44.0342352352,10.6001824293,1628249.9,4876935.82,565.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.2,23.8,7.0,9.8,9.4,0.6,0.2,0.2,9.8,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,18.4,0.2,0.0
TOS09000015,Bagnone,mm,44.3096634492209,9.98412478905929,1578519.8,4906754.13,195.0,0.2,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.8,46.6,9.6,0.0,1.0,1.4,0.2,1.2,7.6,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,12.6,9.2,0.0,0.0
TOS11000022,Barberino,mm,43.5117579417169,11.2358395724122,1680752.22,4820091.41,430.0,0.0,0.0,0.0,0.2,0.0,0.4,0.0,0.0,0.0,0.0,6.0,4.8,0.8,2.0,0.0,0.0,0.0,3.6,7.6,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0
TOS30287500,Barco,mm,44.0541666844,11.3920000556,1691633.74,4880686.74,780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6,7.4,4.4,8.0,0.2,0.0,1.0,8.0,50.5,30.2,2.0,0.0,0.0,0.0,0.0,0.0,0.2,12.0,1.2,0.0
TOS11000048,Barga,mm,44.0699582560682,10.4587989104394,1616850.72,4880693.32,270.0,0.2,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,2.4,45.4,7.8,3.4,5.8,0.2,0.2,1.0,16.0,2.0,1.0,0.0,0.0,0.2,0.0,0.0,0.2,9.8,14.2,0.0,0.0
TOS03002571,Batignano,mm,42.8680433904281,11.1656384292221,1676927.99,4748452.18,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,18.0,1.4,27.4,2.0,0.0,0.0,0.0,20.4,9.6,0.2,0.0,0.0,0.0,0.0,0.8,0.0,24.0,0.0,0.2,0.0
TOS01000721,Bettolle,mm,43.2029078818724,11.8035006523132,1727791.09,4787179.82,292.0,0.0,0.0,0.2,0.2,0.4,0.6,0.6,0.4,0.4,0.2,7.8,3.8,0.2,0.2,0.2,0.0,0.0,0.6,4.8,6.2,0.0,0.0,0.2,0.2,0.0,0.0,11.8,1.4,0.0,0.0
TOS01000626,Bibbiena,mm,43.7141492697,11.8309493029,1728089.9,4844035.82,415.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,2.8,3.4,1.6,2.8,0.0,0.2,0.4,2.2,17.0,2.0,0.0,0.2,0.2,0.2,0.0,0.0,0.2,3.0,0.0,0.0
TOS11000009,Bibbona,mm,43.2622180533,10.5966921413,1629619.9,4791187.82,70.0,0.4,0.0,0.2,0.0,0.0,0.4,0.2,0.2,0.0,0.2,4.6,8.0,3.4,0.4,0.0,0.0,0.2,7.4,4.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,0.0,0.0
TOS01005251,Bocca d'Arno,mm,43.6807297973597,10.2803492546082,1603230.02,4837225.44,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.4,28.8,15.6,5.8,1.8,0.0,0.0,0.4,12.6,9.8,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.4,0.0,0.0
TOS02004369,Bocca di Serchio,mm,43.781358231987,10.2697330713272,1602203.08,4848388.46,-0.23,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.2,1.0,48.6,17.8,7.0,6.2,0.0,0.0,1.6,12.0,11.0,1.6,0.2,0.0,0.0,0.2,0.0,0.0,3.8,0.0,0.0,0.0
TOS02004271,Borgo a Mozzano,mm,43.9798766944972,10.5515098571777,1624463.43,4870823.67,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.8,8.6,12.4,7.6,0.0,0.0,0.0,11.6,5.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,5.2,25.0,0.0,0.0
TOS01000999,Borgo S. Lorenzo,mm,43.9578774974215,11.3905102014542,1691824.58,4869988.3,196.0,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.2,0.2,14.4,4.6,2.0,2.0,0.0,0.2,0.2,4.2,10.0,3.8,0.0,0.2,0.2,0.0,0.0,0.2,0.2,11.6,0.0,0.0
TOS11000017,Borgo S. Lorenzo 2,mm,43.9862142623,11.3897064804,1691668.9,4873133.82,280.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,13.2,5.8,4.8,7.8,0.2,0.0,0.2,3.4,9.6,0.6,0.0,0.0,0.0,0.2,0.0,0.0,0.0,9.8,0.0,0.0
TOS09000023,Bosco di Rossano,mm,44.3049097296334,9.79750335216522,1563640.72,4906064.45,670.0,0.2,0.0,0.0,0.0,0.0,2.8,0.4,0.0,0.0,1.4,74.2,14.2,1.2,3.6,1.4,0.0,4.8,18.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,10.4,0.0,0.0
