"IDStazione";"StazioneExtra";"Nome";"Comune";"Provincia";"Fiume";"Strumento";"Unita' Misura";"IDSensoreRete";"LAT [°]";"LON [°]";"GB E [m]";"GB N [m]";"Quota";"QuotaTerra"
"TOS11000114";0;"Abbadia S. S. - Laghetto Verde";"Abbadia San Salvatore";"SI";"";"pluviometro";"mm";751057.0;42.8831027447861;11.6616225242615;1717391.08;4751286.43;910.0;2.0
"TOS11000114";1;"Abbadia S. S. - Laghetto Verde1";"Abbadia San Salvatore";"SI";"";"pluviometro";"mm";751077.0;42.8831027447861;11.6616225242615;1717391.08;4751286.43;910.0;""
"TOS11000115";0;"Abbadia S. S. - Vetta Amiata";"Abbadia San Salvatore";"SI";"";"pluviometro";"mm";747307.0;42.8901;11.6252;1714392.23;4751970.05;1678.0;3.0
"TOS11000115";1;"Abbadia S. S. - Vetta Amiata1";"Abbadia San Salvatore";"SI";"";"pluviometro";"mm";747327.0;42.8901;11.6252;1714392.23;4751970.05;1678.0;3.0
"TOS07000001";0;"Abbadia S. Salvatore";"Abbadia San Salvatore";"SI";"";"pluviometro";"mm";15201.0;42.8943436457514;11.6693687438965;1717984.09;4752554.84;855.0;2.0
"TOS11000094";0;"Acquerino";"Sambuca Pistoiese";"PT";"";"pluviometro";"mm";750207.0;44.0232663644;11.0252704749;1662341.9;4876466.82;950.0;""
"TOS11000077";0;"Albano";"Monsummano Terme";"PT";"";"pluviometro";"mm";750957.0;43.8765290740426;10.8595333459538;1649426.23;4859855.79;465.0;""
"TOS11000077";1;"Albano1";"Monsummano Terme";"PT";"";"pluviometro";"mm";750977.0;43.8765290740426;10.8595333459538;1649426.23;4859855.79;465.0;""
"TOS11000103";0;"Alberese";"Grosseto";"GR";"";"pluviometro";"mm";753107.0;42.660744;11.0167;1665312.09;4725129.53;1.0;""
"TOS03000775";0;"Alpe di Poti";"Arezzo";"AR";"";"pluviometro";"mm";770157.0;43.47133;11.97479;1740644.49;4817472.6;971.0;""
"TOS11000039";0;"Anghiari";"Anghiari";"AR";"";"pluviometro";"mm";748957.0;43.55929472720656;12.097401532060552;1750198.36;4827604.49;312.0;""
"TOS01002085";0;"Anqua";"Radicondoli";"SI";"";"pluviometro";"mm";743507.0;43.2152422191;10.9873096111;1661447.74;4786650.61;440.0;""
"TOS11000049";0;"Aquilea";"Lucca";"LU";"";"pluviometro";"mm";753457.0;43.9136803352;10.5019687047;1620623.9;4863397.82;134.0;""
"TOS01000772";0;"Arezzo - Fattoria S. Fabiano";"Arezzo";"AR";"";"pluviometro";"mm";738807.0;43.4771402;11.9037761692;1734877.77;4817915.0;305.0;2.0
"TOS01000772";0;"Arezzo - Fattoria S. Fabiano";"Arezzo";"AR";"";"pluviometro";"mm";738827.0;43.4771402;11.9037761692;1734877.77;4817915.0;305.0;2.0
"TOS11000079";0;"Argentario";"Monte Argentario";"GR";"";"pluviometro";"mm";753057.0;42.3867740446267;11.1695700779503;1678620.32;4695016.57;615.0;""
"TOS11000076";0;"Artimino";"Carmignano";"PO";"";"pluviometro";"mm";750057.0;43.7677058350177;11.0483503416056;1664895.51;4848127.79;107.0;""
"TOS01004007";0;"Avenza";"Carrara";"MS";"Carrione";"pluviometro";"mm";731357.0;44.0451579699098;10.0601259103135;1584960.23;4877450.56;15.0;2.0
"TOS01004007";0;"Avenza";"Carrara";"MS";"Carrione";"pluviometro";"mm";731377.0;44.0451579699098;10.0601259103135;1584960.23;4877450.56;15.0;2.0
"TOS02000083";0;"Azzano";"Seravezza";"LU";"";"pluviometro";"mm";732657.0;44.0235213160212;10.2286251813673;1598495.18;4875234.86;430.0;2.0
"TOS11000054";0;"Baccinello";"Grosseto";"GR";"";"pluviometro";"mm";750457.0;42.7955114957092;11.4059878598442;1696791.62;4740930.49;370.0;""
